,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
154,West,16 – 24,Female,5.0,5.0,4.0,Walk,Tram,None,Bus,Walk,Tram,0.0
155,North,45 – 54,Male,4.0,4.0,5.0,Other,Walk,None,Walk,Other,None,0.0
156,East,25 – 34,Male,5.0,3.0,5.0,Taxi/Private hire car,Bus,None,None,,,1.0
157,West,45 – 54,Female,1.0,1.0,1.0,Car,Walk,Bus,Bus,Car,Walk,1.0
158,North,35 – 44,Female,1.0,1.0,5.0,Tram,Car,Walk,Tram,Car,Walk,1.0
159,North,65 – 74,Male,5.0,5.0,5.0,Walk,Bus,Tram,Bus,Taxi/Private hire car,Tram,0.0
160,North,45 – 54,Female,5.0,5.0,3.0,Car,Walk,Cycle,None,,,2.0
161,West,45 – 54,Male,4.0,4.0,5.0,Bus,Car,Bus,Bus,Car,Walk,1.0
162,East,45 – 54,Female,2.0,2.0,2.0,Car,Walk,None,Car,Walk,None,1.0
163,West,35 – 44,Male,4.0,4.0,4.0,Walk,Bus,Car,Walk,Car,Bus,2.0
164,North,35 – 44,Female,4.0,3.0,3.0,Walk,Car,None,Car,Walk,Bus,1.0
165,South,35 – 44,Female,4.0,4.0,4.0,Walk,Car,Bus,Walk,Bus,Car,1.0
167,West,16 – 24,Female,3.0,1.0,1.0,Bus,Walk,Motorcycle,Tram,Taxi/Private hire car,Car,2.0
168,East,16 – 24,Male,4.0,4.0,4.0,Car,Walk,Cycle,Car,Bus,Walk,2.0
169,North,45 – 54,Male,4.0,5.0,3.0,Walk,Cycle,Car,Car,Walk,Cycle,1.0
170,North,16 – 24,Female,5.0,5.0,4.0,Walk,Car,Cycle,Car,Bus,Taxi/Private hire car,1.0
171,North,25 – 34,Female,4.0,5.0,5.0,Walk,Bus,Car,Walk,Bus,Car,0.0
172,South,25 – 34,Male,5.0,5.0,5.0,Car,Walk,Bus,Bus,Walk,Car,1.0
173,North,35 – 44,Male,5.0,5.0,5.0,Walk,Bus,Car,Walk,Bus,Taxi/Private hire car,2.0
174,South,65 – 74,Male,3.0,3.0,2.0,Bus,Car,Walk,Bus,Car,Walk,2.0
175,West,55 – 64,Male,4.0,4.0,4.0,Bus,Car,Walk,Car,Bus,Walk,1.0
176,West,25 – 34,Female,5.0,5.0,5.0,Car,Walk,None,Car,Bus,Tram,2.0
177,West,45 – 54,Female,1.0,3.0,1.0,Car,None,,Car,None,,1.0
178,West,16 – 24,Male,4.0,4.0,3.0,Walk,Bus,None,Bus,Walk,None,0.0
179,North,45 – 54,Male,3.0,3.0,4.0,Car,Bus,Walk,Walk,Car,Bus,1.0
180,South,25 – 34,Male,5.0,5.0,5.0,Walk,Bus,Car,Bus,Walk,None,1.0
181,North,55 – 64,Male,5.0,5.0,5.0,Car,Walk,None,Car,Bus,Walk,1.0
182,North,35 – 44,Female,3.0,1.0,5.0,Walk,Car,Bus,Walk,Bus,Car,1.0
183,South,55 – 64,Female,2.0,2.0,2.0,Bus,Walk,None,Bus,Walk,None,1.0
184,North,25 – 34,Male,4.0,4.0,4.0,Bus,Walk,Car,Bus,Walk,Car,0.0
185,East,45 – 54,Male,2.0,2.0,2.0,Car,Bus,Taxi/Private hire car,Car,Bus,Taxi/Private hire car,2.0
186,North,45 – 54,Female,5.0,5.0,5.0,Walk,Cycle,Bus,Bus,Walk,Cycle,0.0
187,South,35 – 44,Female,5.0,5.0,5.0,Walk,Car,Cycle,Bus,None,,1.0
188,North,16 – 24,Male,4.0,4.0,3.0,Car,Walk,Cycle,Bus,Car,Walk,2.0
189,South,25 – 34,Female,5.0,5.0,5.0,Walk,Bus,None,Bus,Tram,Walk,0.0
190,South,55 – 64,Male,5.0,5.0,5.0,Bus,Walk,Car,Bus,Car,Walk,1.0
191,Central,25 – 34,Female,4.0,3.0,1.0,Bus,Car,Taxi/Private hire car,Taxi/Private hire car,Bus,Taxi/Private hire car,2.0
192,North,16 – 24,Female,5.0,1.0,5.0,Tram,Car,Bus,Bus,Car,Bus,2.0
193,South,35 – 44,Female,5.0,5.0,5.0,Car,Walk,None,Car,Walk,None,1.0
194,East,35 – 44,Female,3.0,4.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
195,North,65 – 74,Male,2.0,2.0,2.0,Bus,Car,Walk,Bus,Car,Walk,1.0
196,South,55 – 64,Male,5.0,4.0,3.0,Bus,Walk,Car,Bus,Walk,Car,1.0
197,Central,35 – 44,Female,3.0,3.0,3.0,Bus,Car,Walk,Bus,Car,Walk,1.0
